Table 1
#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
,World,"70,93,122","10,926","4,06,222","1,141","34,62,432","32,24,468","53,748",910,52.1,,,
1,USA,"20,07,449",,"1,12,469",,"7,61,708","11,33,272","16,923","6,067",340,"2,12,91,677","64,349","330,880,530"
2,Brazil,"6,91,962",,"37,312",813,"3,02,084","3,52,566","8,318","3,257",176,"9,99,836","4,706","212,463,372"
3,Russia,"4,67,673",,"5,859",,"2,26,731","2,35,083","2,300","3,205",40,"1,27,21,549","87,175","145,930,700"
4,Spain,"2,88,630",,"27,136",,N/A,N/A,617,"6,173",580,"40,63,843","86,920","46,753,690"
5,UK,"2,86,194",,"40,542",,N/A,N/A,604,"4,217",597,"55,81,073","82,239","67,863,688"
6,India,"2,58,090",604,"7,207",,"1,24,095","1,26,788","8,944",187,5,"47,74,434","3,462","1,379,122,578"
7,Italy,"2,34,998",,"33,899",,"1,65,837","35,262",287,"3,886",561,"42,36,535","70,063","60,467,085"
8,Peru,"1,96,515",,"5,465",,"86,219","1,04,831","1,062","5,966",166,"11,91,956","36,185","32,941,004"
9,Germany,"1,85,869",,"8,776",,"1,69,600","7,493",568,"2,219",105,"43,48,880","51,916","83,767,456"
10,Iran,"1,71,789",,"8,281",,"1,34,349","29,159","2,596","2,047",99,"10,84,857","12,927","83,921,387"
11,Turkey,"1,70,132",,"4,692",,"1,37,969","27,471",613,"2,019",56,"23,38,593","27,748","84,279,639"
12,France,"1,53,977",,"29,155",,"70,842","53,980","1,053","2,359",447,"13,84,633","21,216","65,264,696"
13,Chile,"1,34,150",,"2,190",,"95,631","36,329","1,558","7,021",115,"7,08,773","37,098","19,105,644"
14,Mexico,"1,17,103","3,484","13,699",188,"84,419","18,985",378,909,106,"3,36,395","2,611","128,844,230"
15,Pakistan,"1,03,671","4,728","2,067",65,"34,355","67,249",111,470,9,"7,05,833","3,200","220,591,553"
16,Saudi Arabia,"1,01,914",,712,,"72,817","28,385","1,564","2,931",20,"9,58,237","27,554","34,776,977"
17,Canada,"95,699",,"7,800",,"54,233","33,666","1,816","2,537",207,"18,96,822","50,286","37,720,832"
18,China,"83,040",4,"4,634",,"78,341",65,1,58,3,,,"1,43,93,23,776"
19,Qatar,"68,790",,54,,"44,338","24,398",245,"24,500",19,"2,55,533","91,008","28,07,805"
20,Bangladesh,"65,769",,888,,"13,903","50,978",1,400,5,"3,97,987","2,418","164,582,631"
21,Belgium,"59,226",,"9,595",,"16,291","33,340",111,"5,112",828,"9,35,670","80,755","11,586,489"
22,Belarus,"48,630",,269,,"23,647","24,714",92,"5,146",28,"6,22,313","65,857","9,449,509"
23,South Africa,"48,285",,998,,"24,364","22,923",208,815,17,"9,20,064","15,526","59,258,991"
24,Netherlands,"47,574",,"6,013",,N/A,N/A,97,"2,777",351,"3,88,113","22,654","17,132,558"
25,Sweden,"44,730",,"4,659",,N/A,N/A,198,"4,431",462,"2,75,500","27,290","10,095,291"
26,Ecuador,"43,120",,"3,621",,"21,020","18,479",222,"2,447",205,"1,27,414","7,229","17,624,879"
27,Colombia,"39,236",,"1,259",,"15,322","22,655",335,772,25,"4,10,719","8,077","50,847,406"
28,UAE,"38,808",,276,,"21,806","16,726",1,"3,927",28,"25,00,000","2,52,973","9,882,493"
29,Singapore,"37,910",,25,,"24,886","12,999",3,"6,483",4,"4,08,495","69,859","5,847,399"
30,Portugal,"34,693",,"1,479",,"20,995","12,219",58,"3,402",145,"8,73,998","85,699","10,198,446"
31,Egypt,"34,079",,"1,237",,"8,961","23,881",41,333,12,"1,35,000","1,321","102,199,634"
32,Kuwait,"31,848",,264,,"20,205","11,379",196,"7,465",62,"3,15,285","73,901","4,266,300"
33,Indonesia,"31,186",,"1,851",,"10,498","18,837",,114,7,"4,05,992","1,485","273,334,499"
34,Switzerland,"30,965",,"1,921",,"28,700",344,28,"3,580",222,"4,23,468","48,952","8,650,592"
35,Ukraine,"26,999",,788,,"12,054","14,157",304,617,18,"4,24,046","9,693","43,748,704"
36,Poland,"26,561",,"1,157",,"12,998","12,406",160,702,31,"10,56,396","27,911","37,849,071"
